
==========================================================================================
Table 3 记录 | 2026-03-26 23:08:02
生成模型: ollama:qwen3.5:9b (think=False)
ACJ 评判: Qwen3-max API（qwen3-max，附录 A.2.2：对检索知识 ACJ，取值 -1/0/1；仅 MMCU/CMB-Exam）
数据: MMCU-Medical / CMB-Exam / CMB-Clin 各 2 题，合计 6 题；方法 Base→KGRAG→HyKGE，共 18 次生成。
指标（均按论文 Appendix A.2.2）：MMCU与CMB-Exam → ACJ,PPL,ROUGE-R；CMB-Clin → BLEU-1,BLEU-4,PPL,ROUGE-R。
ACJ：检索知识相关性均值（-1/0/1）；PPL：生成序列在因果 LM 下困惑度（HF: Qwen/Qwen2.5-1.5B-Instruct）；ROUGE-R / BLEU：式 (10)(11–12)。
==========================================================================================

Method     Dataset               ACJ        PPL   ROUGE-R    BLEU-1    BLEU-4
--------------------------------------------------------------------------------------
Base       MMCU-Medical      -1.0000        N/A    1.0000       N/A       N/A
Base       CMB-Exam          -1.0000        N/A    0.0000       N/A       N/A
Base       CMB-Clin              N/A        N/A    0.7807    0.1760    0.0090
KGRAG      MMCU-Medical      -1.0000        N/A    1.0000       N/A       N/A
KGRAG      CMB-Exam          -1.0000        N/A    0.5000       N/A       N/A
KGRAG      CMB-Clin              N/A        N/A    0.7970    0.1819    0.0171
HyKGE      MMCU-Medical      -1.0000        N/A    1.0000       N/A       N/A
HyKGE      CMB-Exam          -1.0000        N/A    0.5000       N/A       N/A
HyKGE      CMB-Clin              N/A        N/A    0.7445    0.1774    0.0087

